Species,Year,Toxicant,Day,Nom_tox_conc,Ion_Analyzed,Ion_Conc
Lampsilis siliquoidea,2015,Sulfate,0,0,Calcium,26
Lampsilis siliquoidea,2015,Sulfate,0,0,Magnesium,9
Lampsilis siliquoidea,2015,Sulfate,0,0,Potassium,1
Lampsilis siliquoidea,2015,Sulfate,0,0,Sodium,9.8
Lampsilis siliquoidea,2015,Sulfate,0,0,Chloride,10.7
Lampsilis siliquoidea,2015,Sulfate,0,0,Sulfate,18.7
Lampsilis siliquoidea,2015,Sulfate,27,0,Calcium,27
Lampsilis siliquoidea,2015,Sulfate,27,0,Magnesium,9.5
Lampsilis siliquoidea,2015,Sulfate,27,0,Potassium,1.1
Lampsilis siliquoidea,2015,Sulfate,27,0,Sodium,11
Lampsilis siliquoidea,2015,Sulfate,27,0,Chloride,11.5
Lampsilis siliquoidea,2015,Sulfate,27,0,Sulfate,20.8
Villosa iris,2015,Sulfate,0,0,Calcium,26
Villosa iris,2015,Sulfate,0,0,Magnesium,9
Villosa iris,2015,Sulfate,0,0,Potassium,1
Villosa iris,2015,Sulfate,0,0,Sodium,9.8
Villosa iris,2015,Sulfate,0,0,Chloride,10.7
Villosa iris,2015,Sulfate,0,0,Sulfate,18.7
Villosa iris,2015,Sulfate,27,0,Calcium,27
Villosa iris,2015,Sulfate,27,0,Magnesium,9.5
Villosa iris,2015,Sulfate,27,0,Potassium,1.1
Villosa iris,2015,Sulfate,27,0,Sodium,11
Villosa iris,2015,Sulfate,27,0,Chloride,11.5
Villosa iris,2015,Sulfate,27,0,Sulfate,20.8
Pimephales promelas,2018,Sulfate,2,0,Calcium,25
Pimephales promelas,2018,Sulfate,2,0,Magnesium,8.7
Pimephales promelas,2018,Sulfate,2,0,Potassium,2.8
Pimephales promelas,2018,Sulfate,2,0,Sodium,19
Pimephales promelas,2018,Sulfate,2,0,Chloride,14
Pimephales promelas,2018,Sulfate,2,0,Sulfate,19
Pimephales promelas,2018,Sulfate,15,0,Calcium,25
Pimephales promelas,2018,Sulfate,15,0,Magnesium,8.8
Pimephales promelas,2018,Sulfate,15,0,Potassium,3.1
Pimephales promelas,2018,Sulfate,15,0,Sodium,8.9
Pimephales promelas,2018,Sulfate,15,0,Chloride,14
Pimephales promelas,2018,Sulfate,34,0,Calcium,27
Pimephales promelas,2018,Sulfate,34,0,Magnesium,8.9
Pimephales promelas,2018,Sulfate,34,0,Potassium,3
Pimephales promelas,2018,Sulfate,34,0,Sodium,9.1
Pimephales promelas,2018,Sulfate,34,0,Chloride,13
Pimephales promelas,2018,Sulfate,34,0,Sulfate,16
Pimephales promelas,2018,Sulfate,2,800,Calcium,25
Pimephales promelas,2018,Sulfate,2,800,Magnesium,8.4
Pimephales promelas,2018,Sulfate,2,800,Potassium,2.7
Pimephales promelas,2018,Sulfate,2,800,Chloride,14
Pimephales promelas,2018,Sulfate,15,800,Calcium,26
Pimephales promelas,2018,Sulfate,15,800,Magnesium,8.8
Pimephales promelas,2018,Sulfate,15,800,Potassium,3.1
Pimephales promelas,2018,Sulfate,15,800,Chloride,14
Pimephales promelas,2018,Sulfate,34,800,Calcium,28
Pimephales promelas,2018,Sulfate,34,800,Magnesium,9
Pimephales promelas,2018,Sulfate,34,800,Potassium,3
Pimephales promelas,2018,Sulfate,34,800,Chloride,13
