Tox_conc,Replicate,Stocked,Survival,Num_females,Total_young_per_rep
54,1,10,10,1,5
54,2,10,9,5,92
54,3,10,10,5,82
54,4,10,9,4,52
54,5,10,10,6,123
171,1,10,10,7,131
171,2,10,10,4,82
171,3,10,8,3,32
171,4,10,10,5,87
171,5,10,10,5,124
292,1,10,10,4,71
292,2,10,10,5,79
292,3,10,10,3,76
292,4,10,10,3,36
292,5,10,10,3,27
532,1,10,10,2,40
532,2,10,10,7,115
532,3,10,9,4,86
532,4,10,10,6,150
532,5,10,10,6,143
1014,1,10,10,5,66
1014,2,10,10,5,93
1014,3,10,10,3,46
1014,4,10,10,5,150
1014,5,10,10,5,66
1990,1,10,9,4,36
1990,2,10,10,3,24
1990,3,10,9,3,7
1990,4,10,9,4,13
1990,5,7,6,3,4
