Tox_conc,Replicate,Metamorph_time,Wet_wt
0.2,1,42,0.35
0.2,1,42,0.33
0.2,1,43,0.28
0.2,1,45,0.27
0.2,1,45,0.25
0.2,1,45,0.25
0.2,1,46,0.25
0.2,1,48,0.38
0.2,1,48,0.23
0.2,1,49,0.31
0.2,2,43,0.21
0.2,2,43,0.33
0.2,2,43,0.25
0.2,2,44,0.32
0.2,2,44,0.27
0.2,2,44,0.29
0.2,2,44,0.37
0.2,2,49,0.25
0.2,2,50,0.25
0.2,2,51,0.31
0.2,2,54,0.28
0.2,3,40,0.32
0.2,3,42,0.35
0.2,3,43,0.24
0.2,3,43,0.38
0.2,3,44,0.27
0.2,3,45,0.37
0.2,3,45,0.38
0.2,3,49,0.3
0.2,3,52,0.48
0.2,4,43,0.25
0.2,4,43,0.28
0.2,4,43,0.22
0.2,4,44,0.28
0.2,4,44,0.36
0.2,4,45,0.31
0.2,4,45,0.23
0.2,4,46,0.34
0.2,4,47,0.45
0.2,4,48,0.16
0.2,4,51,0.36
0.2,4,52,0.31
0.2,5,42,0.33
0.2,5,42,0.35
0.2,5,44,0.29
0.2,5,44,0.28
0.2,5,44,0.19
0.2,5,46,0.35
0.2,5,46,0.26
0.2,5,48,0.37
0.2,5,48,0.31
0.2,6,42,0.26
0.2,6,42,0.25
0.2,6,43,0.22
0.2,6,43,0.19
0.2,6,45,0.3
0.2,6,45,0.19
0.2,6,45,0.23
0.2,6,46,0.37
0.2,6,46,0.33
0.2,6,47,0.26
0.2,6,47,0.33
0.2,7,42,0.33
0.2,7,42,0.29
0.2,7,43,0.29
0.2,7,45,0.33
0.2,7,45,0.33
0.2,7,46,0.2
0.2,7,47,0.28
0.2,7,47,0.34
0.2,7,48,0.19
0.2,7,52,0.33
0.2,8,40,0.3
0.2,8,42,0.24
0.2,8,42,0.33
0.2,8,42,0.25
0.2,8,42,0.29
0.2,8,42,0.34
0.2,8,44,0.36
0.2,8,44,0.32
0.2,8,44,0.28
0.2,8,47,0.41
5,1,43,0.26
5,1,43,0.31
5,1,43,0.35
5,1,44,0.41
5,1,44,0.29
5,1,44,0.24
5,1,45,0.28
5,1,47,0.25
5,2,42,0.34
5,2,42,0.25
5,2,42,0.3
5,2,43,0.23
5,2,45,0.27
5,2,46,0.27
5,2,47,0.26
5,2,50,0.27
5,2,53,0.31
5,2,53,0.28
5,3,42,0.31
5,3,42,0.35
5,3,42,0.4
5,3,42,0.27
5,3,43,0.27
5,3,43,0.44
5,3,43,0.29
5,3,44,0.26
5,3,44,0.38
5,3,47,0.39
5,3,56,0.49
5,4,43,0.41
5,4,43,0.29
5,4,43,0.31
5,4,43,0.26
5,4,43,0.26
5,4,44,0.32
5,4,44,0.36
5,4,44,0.29
5,4,48,0.39
5,5,39,0.33
5,5,42,0.36
5,5,42,0.32
5,5,42,0.31
5,5,43,0.33
5,5,44,0.32
5,5,45,0.28
5,5,46,0.43
5,5,50,0.3
5,5,50,0.32
5,6,40,0.25
5,6,42,0.31
5,6,42,0.4
5,6,43,0.25
5,6,44,0.35
5,6,45,0.32
5,6,45,0.28
5,6,46,0.35
5,6,47,0.25
5,6,49,0.29
5,6,53,0.28
5,7,42,0.21
5,7,42,0.25
5,7,42,0.29
5,7,43,0.24
5,7,44,0.38
5,7,44,0.4
5,7,44,0.28
5,7,46,0.28
5,7,46,0.29
5,7,46,0.24
5,7,48,0.51
5,8,42,0.35
5,8,42,0.28
5,8,43,0.35
5,8,43,0.3
5,8,43,0.36
5,8,45,0.27
5,8,47,0.44
5,8,48,0.37
5,8,50,0.25
5,8,50,0.32
5,8,52,0.35
13,1,46,0.34
13,1,46,0.29
13,1,46,0.34
13,1,50,0.23
13,1,52,0.25
13,1,52,0.37
13,1,52,0.35
13,1,52,0.31
13,1,52,0.2
13,1,56,0.27
13,2,42,0.26
13,2,44,0.51
13,2,45,0.38
13,2,46,0.42
13,2,50,0.19
13,2,52,0.28
13,2,53,0.26
13,3,42,0.37
13,3,43,0.26
13,3,43,0.37
13,3,44,0.35
13,3,44,0.26
13,3,44,0.33
13,3,46,0.39
13,3,46,0.34
13,3,47,0.39
13,3,49,0.28
13,4,42,0.36
13,4,45,0.24
13,4,45,0.32
13,4,45,0.26
13,4,46,0.29
13,4,47,0.31
13,4,48,0.41
13,4,51,0.2
13,4,52,0.21
13,4,54,0.37
13,4,55,0.3
13,5,42,0.28
13,5,43,0.27
13,5,44,0.25
13,5,46,0.36
13,5,47,0.26
13,5,47,0.33
13,5,47,0.24
13,5,48,0.25
13,5,49,0.25
13,5,50,0.42
13,5,56,0.36
13,6,43,0.36
13,6,44,0.42
13,6,45,0.27
13,6,47,0.21
13,6,47,0.26
13,6,48,0.31
13,6,48,0.24
13,6,51,0.24
13,6,51,0.28
13,6,52,0.23
13,6,53,0.3
13,7,42,0.32
13,7,43,0.3
13,7,43,0.33
13,7,44,0.36
13,7,45,0.37
13,7,47,0.38
13,7,49,0.21
13,7,51,0.24
13,8,43,0.4
13,8,43,0.32
13,8,43,0.22
13,8,43,0.33
13,8,43,0.26
13,8,45,0.24
13,8,45,0.34
13,8,46,0.34
13,8,47,0.32
13,8,54,0.24
13,8,55,0.42
24,1,39,0.24
24,1,39,0.39
24,1,42,0.37
24,1,43,0.3
24,1,44,0.27
24,1,44,0.2
24,1,44,0.19
24,1,46,0.37
24,1,47,0.37
24,2,42,0.37
24,2,42,0.39
24,2,42,0.46
24,2,43,0.34
24,2,43,0.23
24,2,43,0.27
24,2,46,0.33
24,2,46,0.37
24,2,49,0.28
24,3,40,0.35
24,3,40,0.32
24,3,41,0.43
24,3,42,0.29
24,3,42,0.21
24,3,43,0.35
24,3,44,0.28
24,3,45,0.44
24,3,46,0.3
24,4,42,0.38
24,4,43,0.31
24,4,44,0.33
24,4,44,0.3
24,4,44,0.34
24,4,44,0.23
