Tox_conc,Replicate,Stocked,Metamorphosed
0.2,1,12,10
0.2,2,12,11
0.2,3,12,9
0.2,4,12,12
0.2,5,12,9
0.2,6,12,11
0.2,7,12,10
0.2,8,12,10
5,1,12,8
5,2,12,10
5,3,12,11
5,4,12,9
5,5,12,10
5,6,12,11
5,7,12,11
5,8,12,11
13,1,12,10
13,2,12,7
13,3,12,10
13,4,12,11
13,5,12,11
13,6,12,11
13,7,12,8
13,8,12,11
24,1,12,9
24,2,12,9
24,3,12,9
24,4,12,10
24,5,12,9
24,6,12,10
24,7,12,9
24,8,12,10
52,1,12,11
52,2,12,8
52,3,13,10
52,4,12,10
52,5,12,8
52,6,12,3
52,7,12,6
52,8,12,5
111,1,14,11
111,2,12,6
111,3,12,11
111,4,12,7
111,5,12,11
111,6,12,6
111,7,12,8
111,8,12,9
