Species,Year,Toxicant,Day,Tox_conc,Replicate,Fish_number,Length
Pimephales promelas,2018,Sulfate,34,18,1,1,20.69
Pimephales promelas,2018,Sulfate,34,18,1,2,22.46
Pimephales promelas,2018,Sulfate,34,18,1,3,20.01
Pimephales promelas,2018,Sulfate,34,18,1,4,20.82
Pimephales promelas,2018,Sulfate,34,18,1,5,22.87
Pimephales promelas,2018,Sulfate,34,18,1,6,19.62
Pimephales promelas,2018,Sulfate,34,18,1,7,19.81
Pimephales promelas,2018,Sulfate,34,18,1,8,20.51
Pimephales promelas,2018,Sulfate,34,18,1,9,21.08
Pimephales promelas,2018,Sulfate,34,18,1,10,24.66
Pimephales promelas,2018,Sulfate,34,18,1,11,22.58
Pimephales promelas,2018,Sulfate,34,18,1,12,21.18
Pimephales promelas,2018,Sulfate,34,18,1,13,12.34
Pimephales promelas,2018,Sulfate,34,18,1,14,17.87
Pimephales promelas,2018,Sulfate,34,18,2,1,19.01
Pimephales promelas,2018,Sulfate,34,18,2,2,24.56
Pimephales promelas,2018,Sulfate,34,18,2,3,21.98
Pimephales promelas,2018,Sulfate,34,18,2,4,19.84
Pimephales promelas,2018,Sulfate,34,18,2,5,20.76
Pimephales promelas,2018,Sulfate,34,18,2,6,21.11
Pimephales promelas,2018,Sulfate,34,18,2,7,20.45
Pimephales promelas,2018,Sulfate,34,18,2,8,22.08
Pimephales promelas,2018,Sulfate,34,18,2,9,20.46
Pimephales promelas,2018,Sulfate,34,18,2,10,18.84
Pimephales promelas,2018,Sulfate,34,18,2,11,21.22
Pimephales promelas,2018,Sulfate,34,18,2,12,20.29
Pimephales promelas,2018,Sulfate,34,18,2,13,20.33
Pimephales promelas,2018,Sulfate,34,18,3,1,14.21
Pimephales promelas,2018,Sulfate,34,18,3,2,18.58
Pimephales promelas,2018,Sulfate,34,18,3,3,20.11
Pimephales promelas,2018,Sulfate,34,18,3,4,22.3
Pimephales promelas,2018,Sulfate,34,18,3,5,20.95
Pimephales promelas,2018,Sulfate,34,18,3,6,21.81
Pimephales promelas,2018,Sulfate,34,18,3,7,16.27
Pimephales promelas,2018,Sulfate,34,18,3,8,20.26
Pimephales promelas,2018,Sulfate,34,18,3,9,21.91
